Grid_ID,Temperature_Difference_Mid_Century,Temperature_Difference_End_of_Century
0,2.1739044,5.357376
1,2.1803741,5.358261
2,2.1832123,5.3552094
3,2.1820526,5.361206
4,2.1844788,5.350647
5,2.1794586,5.3572235
6,2.1756287,5.3540344
7,2.1734467,5.354767
8,2.171341,5.3531494
9,2.1723785,5.350937
10,2.1687927,5.3432007
11,2.1769104,5.347885
12,2.1691132,5.3491974
13,2.1658173,5.347885
14,2.162384,5.338333
15,2.1632996,5.338928
16,2.1561432,5.341858
17,2.1598969,5.3452606
18,2.161621,5.3379364
19,2.1509094,5.335129
20,2.1467438,5.336151
21,2.144806,5.335968
22,2.1468506,5.329834
23,2.1359863,5.3264313
24,2.1427765,5.330826
25,2.137848,5.3298645
26,2.140503,5.328949
27,2.130066,5.3236694
28,2.1309204,5.3185577
29,2.1289978,5.316803
30,2.1309967,5.312851
31,2.132553,5.3238983
32,2.1392365,5.329834
33,2.1352692,5.3194733
34,2.1328888,5.31691
35,2.1325989,5.3155975
36,2.125183,5.314728
37,2.1229095,5.3133698
38,2.123825,5.3059387
39,2.125763,5.3082886
40,2.1328888,5.305893
41,2.1219177,5.300247
42,2.1214142,5.294388
43,2.1209564,5.295059
44,2.1187286,5.287216
45,2.1237946,5.292099
46,2.1289673,5.289978
47,2.11615,5.282913
48,2.1257782,5.290634
49,2.1266327,5.284317
50,2.1269684,5.285965
51,2.1231232,5.2810364
52,2.1283417,5.276169
53,2.1278076,5.2751617
54,2.1295776,5.2751923
55,2.1282654,5.274185
56,2.1290436,5.270935
57,2.124771,5.2674103
58,2.1295319,5.2658386
59,2.132019,5.263916
60,2.1302795,5.262726
61,2.1306,5.256729
62,2.13031,5.2566986
63,2.1339264,5.2516174
64,2.137848,5.2569427
65,2.1352234,5.2520294
66,2.1374512,5.2511444
67,2.137909,5.245514
68,2.138214,5.2430115
69,2.1411438,5.245056
70,2.14122,5.23497
71,2.1444855,5.23291
72,2.1422424,5.22966
73,2.1450195,5.227646
74,2.1450348,5.221634
75,2.1498718,5.223343
76,2.1496887,5.221756
77,2.1548462,5.2220154
78,2.1551666,5.215637
79,2.1538544,5.2162476
80,2.1550446,5.214081
81,2.1562042,5.2093964
82,2.1621704,5.2144623
83,2.1610565,5.2107697
84,2.1636658,5.205658
85,2.161789,5.20607
86,2.163208,5.204666
87,2.16185,5.203186
88,2.1637573,5.20253
89,2.1659088,5.2013702
90,2.1630707,5.1943817
91,2.1647034,5.19606
92,2.1640015,5.193451
93,2.1638184,5.188324
94,2.1629944,5.1867523
95,2.1635895,5.1847687
96,2.160263,5.180832
97,2.1621857,5.180313
98,2.1623993,5.1775513
99,2.160492,5.174103
100,2.1632843,5.173996
101,2.1575623,5.1722565
102,2.1577911,5.170929
103,2.1617584,5.171921
104,2.1638641,5.1669006
105,2.159027,5.1635437
106,2.1551666,5.1638794
107,2.1543884,5.157425
108,2.1469269,5.1501923
